"Cdur","Cpur","Camt","Prop","age","creditScore"
9,"Business",13790,"real estate",27,"good"
15,"electronics",15250,"real estate",50,"good"
36,"Business",19410,"Unknown",61,"bad"
48,"Business",144090,"Other cars etc.",25,"bad"
24,"electronics",31690,"life insurance/building society",26,"good"
27,"renovation",51780,"life insurance/building society",48,"good"
12,"electronics",21590,"Other cars etc.",29,"good"
12,"second hand vehicle",9950,"real estate",22,"good"
36,"education",18070,"Unknown",37,"bad"
36,"electronics",23820,"Other cars etc.",25,"good"
36,"new vehicle",81210,"life insurance/building society",30,"good"
7,"electronics",7180,"life insurance/building society",46,"good"
8,"miscellaneous",11520,"Unknown",51,"good"
42,"Business",59420,"real estate",41,"good"
36,"education",19650,"Unknown",40,"bad"
12,"new vehicle",15140,"Unknown",66,"good"
42,"electronics",39530,"Other cars etc.",34,"bad"
11,"electronics",47590,"life insurance/building society",51,"good"
54,"new vehicle",94240,"life insurance/building society",39,"good"
30,"furniture",38200,"life insurance/building society",22,"good"
24,"electronics",59310,"Other cars etc.",44,"bad"
15,"electronics",12010,"life insurance/building society",47,"good"
18,"Business",15560,"life insurance/building society",24,"good"
24,"miscellaneous",17430,"real estate",58,"good"
10,"electronics",23030,"real estate",52,"good"
12,"Business",14000,"real estate",29,"good"
18,"furniture",12830,"life insurance/building society",27,"good"
36,"education",126000,"Unknown",47,"bad"
18,"second hand vehicle",22370,"Other cars etc.",30,"good"
12,"renovation",10960,"real estate",28,"bad"
12,"electronics",6060,"real estate",56,"good"
12,"new vehicle",13970,"real estate",54,"good"
12,"electronics",7850,"life insurance/building society",33,"bad"
24,"furniture",36050,"Unknown",20,"good"
12,"second hand vehicle",13060,"real estate",54,"good"
54,"Business",159330,"Unknown",58,"bad"
12,"education",20000,"Other cars etc.",61,"good"
18,"Business",26100,"Other cars etc.",34,"good"
36,"electronics",23250,"real estate",36,"good"
20,"new vehicle",70450,"life insurance/building society",36,"good"
24,"second hand vehicle",14570,"real estate",41,"good"
36,"electronics",23110,"Other cars etc.",24,"good"
6,"electronics",9200,"real estate",24,"good"
9,"furniture",19070,"Other cars etc.",35,"good"
12,"new vehicle",24330,"Other cars etc.",26,"good"
24,"miscellaneous",119260,"Other cars etc.",39,"bad"
18,"second hand vehicle",64460,"Unknown",39,"bad"
12,"second hand vehicle",60660,"Other cars etc.",32,"good"
24,"furniture",77090,"life insurance/building society",30,"good"
14,"Business",13980,"real estate",35,"good"
6,"Business",14370,"Other cars etc.",31,"good"
15,"education",3800,"life insurance/building society",23,"good"
18,"second hand vehicle",62480,"real estate",28,"good"
36,"second hand vehicle",78430,"real estate",25,"bad"
12,"electronics",16680,"real estate",35,"good"
48,"electronics",35660,"real estate",47,"good"
42,"electronics",71620,"Other cars etc.",30,"bad"
10,"furniture",21200,"real estate",27,"good"
33,"furniture",42690,"Other cars etc.",23,"bad"
12,"second hand vehicle",23540,"Other cars etc.",36,"good"
21,"electronics",18230,"real estate",25,"bad"
24,"new vehicle",38560,"Other cars etc.",41,"good"
12,"furniture",17560,"real estate",24,"good"
10,"second hand vehicle",7690,"Unknown",63,"good"
18,"furniture",19120,"real estate",27,"bad"
12,"second hand vehicle",21090,"life insurance/building society",30,"good"
12,"electronics",6890,"real estate",40,"good"
12,"renovation",6270,"Other cars etc.",30,"bad"
12,"new vehicle",18480,"Other cars etc.",34,"good"
12,"second hand vehicle",34870,"real estate",29,"bad"
48,"second hand vehicle",84750,"Other cars etc.",24,"good"
36,"education",68750,"life insurance/building society",29,"bad"
15,"furniture",26960,"life insurance/building society",27,"good"
18,"furniture",19720,"Unknown",47,"good"
60,"electronics",101320,"real estate",21,"good"
12,"electronics",12280,"real estate",38,"good"
27,"new vehicle",86010,"Other cars etc.",27,"good"
12,"electronics",7540,"real estate",66,"bad"
15,"electronics",27160,"real estate",35,"good"
12,"electronics",18690,"Other cars etc.",44,"good"
6,"second hand vehicle",6970,"real estate",27,"good"
36,"electronics",47830,"Unknown",30,"good"
27,"electronics",34040,"Other cars etc.",27,"good"
18,"furniture",24500,"Other cars etc.",22,"bad"
21,"furniture",22760,"life insurance/building society",23,"good"
48,"Business",35540,"Other cars etc.",30,"good"
6,"second hand vehicle",8480,"Unknown",39,"good"
12,"second hand vehicle",6700,"Other cars etc.",51,"good"
36,"furniture",53590,"life insurance/building society",28,"good"
18,"electronics",15700,"Other cars etc.",46,"good"
6,"electronics",13340,"Unknown",42,"good"
10,"electronics",19120,"life insurance/building society",38,"good"
36,"electronics",58360,"Other cars etc.",24,"good"
24,"new vehicle",77460,"Unknown",29,"good"
24,"Business",69550,"Other cars etc.",36,"good"
12,"furniture",12700,"Other cars etc.",20,"bad"
9,"renovation",12760,"real estate",48,"good"
12,"retaining",3270,"Other cars etc.",45,"good"
24,"second hand vehicle",35000,"Other cars etc.",38,"good"
6,"electronics",18860,"real estate",34,"good"
24,"electronics",28600,"real estate",36,"good"
18,"second hand vehicle",10430,"life insurance/building society",30,"good"
15,"domestic needs",12500,"life insurance/building society",36,"good"
10,"second hand vehicle",72960,"Unknown",70,"good"
36,"second hand vehicle",8970,"life insurance/building society",36,"good"
6,"furniture",29660,"Other cars etc.",32,"good"
18,"furniture",11190,"Other cars etc.",33,"bad"
11,"furniture",15650,"real estate",20,"good"
24,"furniture",39600,"life insurance/building society",25,"good"
24,"Business",19230,"real estate",31,"bad"
15,"second hand vehicle",9380,"Other cars etc.",33,"bad"
12,"furniture",7510,"real estate",26,"good"
24,"furniture",20520,"life insurance/building society",34,"bad"
8,"electronics",14020,"real estate",33,"good"
21,"education",34020,"life insurance/building society",26,"bad"
30,"new vehicle",74730,"real estate",53,"bad"
12,"furniture",25650,"Other cars etc.",42,"good"
6,"electronics",3260,"Other cars etc.",52,"good"
12,"electronics",19510,"Other cars etc.",31,"good"
21,"second hand vehicle",5590,"real estate",65,"good"
36,"Business",95600,"Other cars etc.",28,"bad"
36,"Business",44430,"real estate",30,"bad"
21,"second hand vehicle",16350,"life insurance/building society",40,"bad"
24,"furniture",37650,"real estate",50,"good"
18,"second hand vehicle",8720,"Other cars etc.",36,"bad"
15,"electronics",13480,"life insurance/building society",31,"good"
9,"new vehicle",51170,"Unknown",74,"bad"
16,"second hand vehicle",11630,"Other cars etc.",68,"good"
12,"electronics",6620,"life insurance/building society",20,"bad"
18,"furniture",32320,"Other cars etc.",33,"good"
24,"Business",45790,"life insurance/building society",54,"bad"
48,"Business",38320,"Unknown",34,"bad"
27,"Business",39030,"Other cars etc.",36,"bad"
6,"electronics",20960,"real estate",29,"good"
45,"electronics",30190,"life insurance/building society",21,"bad"
9,"education",14890,"Other cars etc.",34,"bad"
6,"electronics",13700,"Other cars etc.",28,"good"
12,"furniture",9390,"Other cars etc.",27,"bad"
24,"new vehicle",27480,"Unknown",36,"good"
18,"furniture",42850,"Unknown",40,"bad"
9,"education",9240,"Other cars etc.",52,"good"
12,"second hand vehicle",11560,"real estate",27,"good"
27,"Business",51050,"Other cars etc.",26,"good"
12,"retaining",8900,"life insurance/building society",21,"bad"
12,"second hand vehicle",14830,"real estate",38,"good"
30,"new vehicle",106110,"Unknown",38,"good"
12,"furniture",19230,"real estate",43,"good"
12,"domestic needs",14120,"life insurance/building society",26,"good"
24,"Business",65560,"Other cars etc.",21,"good"
12,"new vehicle",14010,"life insurance/building society",55,"good"
9,"electronics",30620,"real estate",33,"good"
36,"electronics",38230,"real estate",45,"good"
27,"Business",52810,"life insurance/building society",50,"bad"
30,"Business",18960,"real estate",66,"bad"
36,"electronics",33300,"Other cars etc.",51,"good"
6,"retaining",9200,"life insurance/building society",39,"good"
18,"Business",30920,"life insurance/building society",31,"good"
36,"electronics",39010,"real estate",23,"good"
24,"furniture",30090,"real estate",24,"good"
10,"second hand vehicle",13520,"Other cars etc.",64,"good"
12,"electronics",6130,"real estate",26,"good"
12,"education",11880,"life insurance/building society",23,"good"
12,"electronics",6950,"real estate",30,"good"
24,"Business",29660,"real estate",32,"good"
15,"new vehicle",46450,"Other cars etc.",30,"good"
36,"renovation",26010,"Other cars etc.",27,"good"
48,"electronics",109490,"Unknown",27,"bad"
12,"furniture",78530,"Unknown",53,"bad"
9,"electronics",14660,"Other cars etc.",22,"bad"
24,"furniture",31370,"Unknown",22,"good"
36,"electronics",41980,"Other cars etc.",26,"bad"
9,"second hand vehicle",24950,"Unknown",51,"good"
12,"electronics",21290,"Unknown",35,"good"
18,"electronics",8540,"real estate",25,"good"
4,"electronics",15320,"real estate",42,"good"
24,"electronics",18110,"Other cars etc.",30,"bad"
6,"second hand vehicle",145430,"life insurance/building society",23,"bad"
21,"Business",27550,"Other cars etc.",61,"bad"
12,"electronics",12790,"life insurance/building society",35,"good"
30,"electronics",25100,"life insurance/building society",39,"good"
24,"second hand vehicle",9030,"Other cars etc.",29,"bad"
6,"electronics",15830,"life insurance/building society",51,"good"
48,"new vehicle",45930,"Unknown",24,"bad"
12,"Business",11730,"real estate",27,"good"
12,"retaining",34350,"real estate",35,"good"
24,"Business",12460,"real estate",25,"good"
12,"electronics",7050,"real estate",52,"good"
6,"second hand vehicle",11920,"Unknown",35,"good"
24,"furniture",19130,"real estate",26,"good"
18,"electronics",4210,"real estate",22,"bad"
6,"second hand vehicle",6540,"real estate",39,"good"
12,"furniture",22390,"Other cars etc.",46,"good"
30,"second hand vehicle",21380,"Unknown",24,"bad"
24,"furniture",41390,"life insurance/building society",35,"good"
9,"furniture",20180,"Other cars etc.",24,"good"
60,"electronics",74060,"real estate",27,"good"
24,"electronics",26720,"real estate",35,"good"
12,"electronics",21370,"Unknown",29,"bad"
15,"new vehicle",38000,"Other cars etc.",23,"good"
11,"electronics",11420,"real estate",57,"good"
12,"furniture",16450,"real estate",27,"good"
24,"electronics",15910,"Other cars etc.",55,"good"
18,"second hand vehicle",52900,"Unknown",36,"good"
12,"education",27360,"Unknown",57,"good"
10,"second hand vehicle",12190,"real estate",32,"good"
15,"electronics",7900,"Other cars etc.",37,"bad"
36,"Business",62920,"real estate",36,"good"
24,"electronics",15210,"Other cars etc.",38,"good"
14,"second hand vehicle",89660,"life insurance/building society",45,"bad"
24,"electronics",9870,"Other cars etc.",25,"good"
18,"second hand vehicle",26500,"life insurance/building society",32,"good"
12,"furniture",13900,"Other cars etc.",37,"good"
48,"second hand vehicle",121570,"Unknown",36,"good"
48,"electronics",30480,"real estate",28,"bad"
30,"renovation",119860,"Unknown",34,"bad"
9,"electronics",26850,"real estate",32,"good"
18,"electronics",23920,"Other cars etc.",26,"good"
12,"furniture",12500,"life insurance/building society",49,"good"
6,"furniture",45990,"life insurance/building society",32,"bad"
24,"electronics",18890,"Other cars etc.",29,"good"
15,"new vehicle",33560,"Unknown",23,"good"
12,"furniture",15620,"real estate",50,"good"
18,"electronics",14330,"Other cars etc.",49,"good"
15,"furniture",15080,"life insurance/building society",63,"good"
24,"second hand vehicle",38660,"Other cars etc.",37,"good"
47,"second hand vehicle",107100,"real estate",35,"good"
48,"new vehicle",47760,"life insurance/building society",26,"good"
48,"miscellaneous",75700,"Unknown",31,"good"
12,"electronics",10800,"real estate",49,"good"
24,"electronics",10120,"real estate",48,"bad"
12,"Business",10640,"real estate",26,"good"
36,"new vehicle",93860,"Other cars etc.",28,"bad"
24,"new vehicle",64070,"Unknown",44,"good"
42,"new vehicle",47840,"Unknown",56,"good"
48,"Business",76170,"Other cars etc.",46,"good"
48,"furniture",99480,"Other cars etc.",26,"bad"
12,"new vehicle",46630,"Other cars etc.",20,"good"
10,"second hand vehicle",12750,"life insurance/building society",45,"good"
18,"furniture",25030,"real estate",43,"good"
21,"furniture",27330,"Other cars etc.",32,"good"
6,"second hand vehicle",6600,"real estate",54,"good"
36,"electronics",37920,"Other cars etc.",42,"bad"
24,"second hand vehicle",13320,"real estate",37,"bad"
10,"second hand vehicle",10260,"life insurance/building society",49,"good"
48,"second hand vehicle",101150,"Unknown",44,"bad"
6,"furniture",15310,"real estate",33,"good"
30,"new vehicle",47990,"life insurance/building society",24,"good"
12,"electronics",7150,"Unknown",33,"bad"
8,"furniture",12250,"real estate",24,"bad"
9,"second hand vehicle",2640,"real estate",22,"good"
48,"miscellaneous",53690,"Unknown",40,"good"
24,"furniture",54990,"Other cars etc.",25,"good"
24,"furniture",37370,"Other cars etc.",26,"good"
12,"second hand vehicle",6730,"Other cars etc.",25,"bad"
4,"second hand vehicle",14820,"real estate",29,"good"
36,"furniture",27340,"Other cars etc.",31,"bad"
12,"furniture",6960,"life insurance/building society",38,"good"
24,"furniture",43390,"life insurance/building society",48,"good"
12,"education",6890,"Other cars etc.",32,"good"
15,"furniture",36310,"life insurance/building society",27,"good"
30,"second hand vehicle",42370,"Other cars etc.",28,"bad"
24,"electronics",19260,"life insurance/building society",32,"bad"
24,"new vehicle",28980,"Unknown",34,"good"
18,"furniture",26470,"Other cars etc.",28,"good"
18,"second hand vehicle",10160,"real estate",36,"good"
8,"second hand vehicle",33860,"real estate",39,"good"
12,"furniture",57890,"life insurance/building society",49,"good"
24,"second hand vehicle",15130,"Other cars etc.",34,"good"
36,"electronics",44610,"Other cars etc.",31,"good"
6,"electronics",10560,"Other cars etc.",28,"good"
24,"new vehicle",66030,"Unknown",75,"good"
18,"education",18520,"real estate",30,"bad"
60,"second hand vehicle",73960,"life insurance/building society",24,"bad"
48,"new vehicle",115780,"Other cars etc.",24,"bad"
24,"furniture",40980,"Unknown",23,"bad"
6,"furniture",33720,"real estate",44,"bad"
13,"electronics",20890,"life insurance/building society",23,"good"
15,"domestic needs",12630,"Other cars etc.",24,"bad"
24,"furniture",41570,"life insurance/building society",28,"good"
10,"furniture",15090,"Other cars etc.",31,"good"
24,"education",57310,"Unknown",24,"good"
21,"furniture",35870,"Other cars etc.",26,"good"
18,"electronics",32010,"real estate",25,"good"
18,"Business",44270,"real estate",33,"good"
10,"second hand vehicle",39370,"life insurance/building society",37,"good"
15,"electronics",14470,"Other cars etc.",43,"good"
13,"electronics",8700,"real estate",23,"good"
24,"electronics",37460,"Unknown",23,"good"
6,"Business",17310,"real estate",34,"good"
9,"education",11240,"Unknown",32,"bad"
9,"domestic needs",12240,"real estate",23,"good"
9,"furniture",9470,"Other cars etc.",29,"bad"
18,"new vehicle",32170,"Unknown",38,"good"
12,"electronics",61870,"life insurance/building society",28,"bad"
10,"education",7150,"Unknown",46,"good"
24,"second hand vehicle",12340,"real estate",23,"bad"
12,"electronics",23190,"real estate",49,"good"
36,"electronics",44510,"Other cars etc.",26,"bad"
12,"electronics",7640,"real estate",28,"good"
30,"furniture",23940,"real estate",23,"bad"
18,"education",12270,"Unknown",61,"good"
12,"electronics",33870,"Other cars etc.",37,"good"
12,"second hand vehicle",22350,"Other cars etc.",36,"good"
6,"furniture",17540,"life insurance/building society",21,"good"
18,"furniture",24610,"Other cars etc.",25,"bad"
12,"Business",15300,"Other cars etc.",36,"good"
18,"new vehicle",38380,"Other cars etc.",27,"good"
18,"furniture",36380,"Other cars etc.",22,"good"
36,"furniture",34340,"Other cars etc.",42,"bad"
18,"furniture",29890,"real estate",40,"good"
36,"second hand vehicle",30670,"real estate",36,"good"
18,"electronics",60580,"Other cars etc.",33,"good"
10,"furniture",21340,"real estate",23,"good"
60,"second hand vehicle",137440,"Unknown",63,"good"
60,"miscellaneous",147700,"Unknown",60,"bad"
48,"Business",76730,"Other cars etc.",37,"bad"
18,"electronics",23080,"real estate",34,"good"
7,"electronics",8340,"Unknown",36,"good"
36,"second hand vehicle",143060,"Unknown",57,"bad"
6,"second hand vehicle",3500,"Other cars etc.",52,"good"
20,"furniture",22000,"Other cars etc.",39,"good"
18,"new vehicle",129640,"Unknown",38,"bad"
22,"second hand vehicle",12710,"life insurance/building society",25,"good"
12,"second hand vehicle",13180,"real estate",26,"good"
30,"Business",42600,"life insurance/building society",26,"good"
18,"electronics",22260,"Other cars etc.",25,"good"
18,"electronics",11140,"real estate",21,"good"
18,"furniture",73620,"life insurance/building society",40,"good"
15,"Business",23140,"Other cars etc.",27,"good"
9,"Business",14370,"Other cars etc.",27,"good"
18,"second hand vehicle",18080,"life insurance/building society",30,"good"
12,"furniture",9710,"real estate",19,"good"
36,"second hand vehicle",32370,"Unknown",39,"good"
6,"electronics",19450,"Other cars etc.",31,"good"
9,"furniture",23940,"Other cars etc.",31,"good"
39,"education",117480,"Unknown",32,"good"
12,"furniture",25660,"Unknown",55,"good"
36,"furniture",23360,"life insurance/building society",46,"good"
12,"second hand vehicle",12110,"real estate",46,"bad"
24,"electronics",15040,"real estate",43,"good"
18,"electronics",14610,"real estate",39,"good"
18,"Business",18750,"real estate",28,"good"
24,"Business",86360,"Other cars etc.",27,"bad"
14,"second hand vehicle",7900,"Other cars etc.",27,"good"
18,"second hand vehicle",28870,"Other cars etc.",43,"good"
24,"electronics",20270,"life insurance/building society",22,"bad"
24,"new vehicle",21850,"Other cars etc.",43,"good"
15,"electronics",10410,"real estate",27,"good"
24,"electronics",32230,"Other cars etc.",26,"good"
12,"second hand vehicle",9270,"real estate",28,"bad"
24,"electronics",19550,"Other cars etc.",20,"good"
33,"new vehicle",72410,"Other cars etc.",35,"good"
12,"Business",22800,"Other cars etc.",42,"bad"
10,"second hand vehicle",15850,"Unknown",40,"good"
24,"second hand vehicle",13690,"life insurance/building society",35,"bad"
36,"new vehicle",58300,"life insurance/building society",35,"good"
12,"second hand vehicle",25670,"real estate",33,"bad"
18,"education",84590,"Other cars etc.",23,"good"
21,"second hand vehicle",27700,"Other cars etc.",31,"good"
18,"second hand vehicle",10300,"life insurance/building society",33,"bad"
15,"second hand vehicle",31740,"Other cars etc.",20,"good"
12,"new vehicle",20160,"Other cars etc.",30,"good"
12,"second hand vehicle",9460,"real estate",47,"good"
21,"furniture",15790,"real estate",34,"good"
12,"furniture",27500,"life insurance/building society",25,"bad"
18,"new vehicle",27670,"Other cars etc.",21,"good"
28,"electronics",27310,"Other cars etc.",29,"good"
18,"electronics",11370,"real estate",46,"good"
9,"furniture",13010,"Other cars etc.",20,"good"
18,"renovation",11780,"Unknown",55,"bad"
5,"Business",34360,"real estate",74,"good"
24,"miscellaneous",113160,"Other cars etc.",29,"bad"
6,"furniture",18600,"Unknown",36,"good"
24,"renovation",20460,"real estate",33,"good"
9,"furniture",21240,"real estate",25,"good"
12,"electronics",14720,"real estate",25,"bad"
6,"renovation",6480,"real estate",23,"good"
24,"second hand vehicle",12750,"real estate",37,"good"
42,"renovation",33820,"Other cars etc.",65,"good"
12,"Business",5970,"real estate",26,"bad"
12,"second hand vehicle",18720,"Other cars etc.",39,"good"
12,"furniture",16080,"life insurance/building society",30,"good"
20,"miscellaneous",26170,"Other cars etc.",29,"good"
12,"education",7070,"Other cars etc.",41,"bad"
48,"furniture",50840,"Other cars etc.",30,"bad"
9,"education",12320,"life insurance/building society",41,"good"
36,"second hand vehicle",18300,"Other cars etc.",34,"bad"
7,"electronics",25640,"real estate",35,"good"
12,"furniture",14120,"real estate",55,"good"
15,"renovation",15000,"life insurance/building society",61,"bad"
36,"new vehicle",110420,"Other cars etc.",30,"good"
6,"electronics",5060,"real estate",29,"good"
12,"furniture",27470,"life insurance/building society",34,"good"
24,"new vehicle",26580,"Other cars etc.",35,"good"
24,"second hand vehicle",48050,"life insurance/building society",31,"bad"
24,"new vehicle",26670,"Unknown",29,"good"
11,"second hand vehicle",38930,"real estate",36,"good"
12,"new vehicle",33740,"Unknown",35,"bad"
6,"domestic needs",3310,"real estate",27,"good"
18,"electronics",45820,"Other cars etc.",32,"good"
36,"furniture",36080,"life insurance/building society",37,"good"
15,"second hand vehicle",17090,"real estate",36,"good"
12,"furniture",30050,"real estate",34,"good"
12,"retaining",7420,"life insurance/building society",38,"good"
18,"Business",19380,"Other cars etc.",34,"good"
24,"new vehicle",29120,"Unknown",63,"good"
24,"electronics",16470,"Other cars etc.",29,"bad"
48,"electronics",72260,"Other cars etc.",32,"good"
33,"Business",27520,"Other cars etc.",26,"good"
24,"new vehicle",46670,"Other cars etc.",35,"good"
24,"electronics",30800,"Other cars etc.",22,"bad"
6,"education",4360,"life insurance/building society",23,"bad"
9,"second hand vehicle",6420,"Other cars etc.",28,"bad"
6,"retaining",12260,"life insurance/building society",36,"good"
18,"electronics",12330,"Other cars etc.",33,"bad"
18,"furniture",31020,"life insurance/building society",26,"bad"
39,"new vehicle",25570,"Other cars etc.",24,"good"
24,"electronics",51400,"Other cars etc.",25,"good"
12,"Business",10250,"real estate",39,"good"
15,"furniture",14660,"Other cars etc.",44,"good"
12,"electronics",35610,"real estate",23,"good"
24,"second hand vehicle",11890,"life insurance/building society",26,"good"
30,"furniture",36100,"life insurance/building society",57,"good"
15,"furniture",9480,"life insurance/building society",30,"good"
12,"second hand vehicle",11510,"real estate",44,"good"
6,"second hand vehicle",11970,"life insurance/building society",47,"bad"
12,"electronics",30650,"Other cars etc.",52,"good"
24,"second hand vehicle",37450,"Unknown",62,"good"
10,"second hand vehicle",14060,"real estate",35,"good"
6,"second hand vehicle",35060,"life insurance/building society",26,"good"
12,"electronics",19220,"Unknown",26,"good"
27,"Business",83060,"Unknown",42,"bad"
6,"electronics",12250,"life insurance/building society",27,"good"
6,"electronics",3560,"life insurance/building society",38,"good"
12,"second hand vehicle",21100,"real estate",39,"good"
24,"furniture",29840,"Other cars etc.",20,"bad"
36,"furniture",90220,"Unknown",29,"bad"
24,"furniture",15730,"life insurance/building society",40,"good"
18,"electronics",12890,"real estate",32,"good"
6,"second hand vehicle",13110,"Other cars etc.",28,"good"
24,"second hand vehicle",31110,"life insurance/building society",27,"bad"
36,"new vehicle",54810,"Unknown",42,"good"
9,"electronics",11140,"real estate",49,"good"
24,"electronics",12040,"Unknown",38,"bad"
24,"second hand vehicle",11950,"life insurance/building society",24,"bad"
10,"second hand vehicle",12970,"life insurance/building society",27,"bad"
15,"new vehicle",23480,"Other cars etc.",36,"good"
15,"second hand vehicle",68380,"life insurance/building society",34,"bad"
24,"electronics",14010,"life insurance/building society",28,"good"
39,"new vehicle",85760,"Other cars etc.",45,"good"
12,"second hand vehicle",7470,"real estate",26,"bad"
36,"new vehicle",46740,"Unknown",32,"good"
15,"Business",26750,"life insurance/building society",26,"good"
12,"electronics",5730,"real estate",20,"good"
24,"second hand vehicle",22430,"life insurance/building society",54,"good"
6,"second hand vehicle",5970,"life insurance/building society",37,"good"
6,"second hand vehicle",13490,"real estate",40,"good"
36,"furniture",71150,"life insurance/building society",23,"bad"
6,"second hand vehicle",11910,"life insurance/building society",43,"good"
6,"electronics",6880,"Unknown",36,"good"
24,"renovation",54950,"Unknown",44,"good"
18,"electronics",31780,"real estate",24,"bad"
48,"furniture",71070,"Unknown",53,"bad"
24,"new vehicle",34760,"Other cars etc.",23,"good"
18,"electronics",11010,"real estate",26,"good"
26,"new vehicle",79540,"Other cars etc.",30,"good"
15,"education",15200,"Other cars etc.",31,"good"
4,"electronics",14910,"real estate",42,"good"
36,"electronics",22900,"Other cars etc.",31,"bad"
6,"second hand vehicle",6500,"real estate",41,"good"
36,"education",22610,"Other cars etc.",32,"good"
15,"second hand vehicle",26190,"Other cars etc.",28,"bad"
12,"new vehicle",14910,"real estate",41,"good"
24,"electronics",12990,"life insurance/building society",26,"good"
24,"electronics",30930,"Other cars etc.",25,"good"
21,"education",23070,"Other cars etc.",33,"bad"
6,"second hand vehicle",13620,"life insurance/building society",75,"good"
18,"furniture",36000,"life insurance/building society",37,"good"
48,"second hand vehicle",77510,"Unknown",42,"bad"
18,"furniture",30370,"life insurance/building society",45,"good"
12,"electronics",15220,"real estate",23,"bad"
24,"second hand vehicle",20200,"Unknown",60,"good"
30,"furniture",63380,"life insurance/building society",31,"bad"
18,"furniture",28520,"real estate",34,"bad"
12,"second hand vehicle",12430,"real estate",61,"good"
24,"second hand vehicle",13210,"real estate",43,"bad"
24,"second hand vehicle",20100,"Other cars etc.",37,"good"
24,"electronics",15400,"Other cars etc.",32,"good"
12,"electronics",6140,"real estate",24,"bad"
48,"new vehicle",88460,"Unknown",35,"good"
12,"renovation",9840,"real estate",23,"good"
6,"electronics",17380,"life insurance/building society",45,"good"
48,"electronics",69870,"real estate",34,"bad"
12,"second hand vehicle",19830,"Other cars etc.",27,"good"
9,"education",11870,"life insurance/building society",67,"good"
12,"electronics",13190,"Other cars etc.",22,"bad"
18,"second hand vehicle",22660,"Other cars etc.",28,"bad"
21,"second hand vehicle",49910,"life insurance/building society",29,"bad"
24,"furniture",35400,"Other cars etc.",27,"bad"
18,"furniture",19160,"real estate",31,"bad"
24,"new vehicle",29520,"Unknown",49,"good"
24,"electronics",15340,"Other cars etc.",24,"bad"
6,"electronics",6710,"life insurance/building society",29,"good"
