"Cdur","Cpur","Camt","Prop","age","creditScore"
36,"second hand vehicle",123770,"Unknown",37,"bad"
24,"Business",47000,"life insurance/building society",37,"good"
24,"electronics",15410,"life insurance/building society",23,"good"
12,"second hand vehicle",13600,"Other cars etc.",36,"bad"
24,"electronics",25660,"Other cars etc.",34,"good"
48,"electronics",39670,"Other cars etc.",41,"good"
48,"electronics",67460,"Other cars etc.",31,"bad"
24,"furniture",32220,"real estate",23,"bad"
30,"electronics",59420,"Other cars etc.",38,"good"
24,"new vehicle",54210,"life insurance/building society",26,"good"
15,"Business",7940,"life insurance/building society",22,"good"
9,"electronics",10700,"Other cars etc.",27,"good"
15,"furniture",27760,"Other cars etc.",24,"good"
12,"electronics",29180,"real estate",27,"good"
24,"education",19150,"Other cars etc.",33,"good"
36,"second hand vehicle",28080,"Other cars etc.",27,"bad"
24,"retaining",9250,"Other cars etc.",27,"good"
18,"second hand vehicle",10440,"real estate",30,"bad"
12,"second hand vehicle",31120,"real estate",49,"good"
9,"furniture",13760,"real estate",26,"good"
36,"renovation",23720,"Unknown",33,"bad"
12,"second hand vehicle",21210,"Unknown",52,"good"
18,"furniture",20270,"real estate",20,"bad"
9,"second hand vehicle",27870,"real estate",36,"good"
12,"furniture",12770,"life insurance/building society",21,"good"
18,"domestic needs",12050,"real estate",47,"bad"
12,"furniture",22340,"life insurance/building society",60,"bad"
12,"electronics",3730,"real estate",58,"good"
24,"second hand vehicle",19530,"Other cars etc.",42,"good"
21,"Business",15600,"real estate",36,"good"
24,"second hand vehicle",27060,"life insurance/building society",20,"bad"
24,"miscellaneous",13460,"Other cars etc.",40,"bad"
6,"second hand vehicle",9190,"life insurance/building society",32,"bad"
24,"second hand vehicle",14300,"Other cars etc.",23,"bad"
24,"Business",42290,"real estate",36,"bad"
18,"second hand vehicle",27630,"life insurance/building society",31,"bad"
24,"Business",38510,"Unknown",32,"good"
7,"electronics",23170,"real estate",45,"good"
9,"furniture",9060,"life insurance/building society",30,"bad"
24,"education",18250,"Unknown",34,"bad"
36,"furniture",33370,"Other cars etc.",28,"bad"
10,"furniture",12630,"life insurance/building society",23,"good"
24,"furniture",28160,"real estate",22,"good"
24,"Business",45140,"real estate",74,"good"
36,"electronics",26590,"Unknown",50,"bad"
18,"electronics",20390,"real estate",33,"good"
15,"new vehicle",12880,"Unknown",45,"good"
12,"domestic needs",7290,"life insurance/building society",22,"bad"
10,"second hand vehicle",12280,"Unknown",48,"bad"
21,"electronics",33450,"Other cars etc.",29,"good"
24,"new vehicle",36200,"Other cars etc.",22,"good"
18,"furniture",17960,"real estate",22,"bad"
48,"Business",121920,"Other cars etc.",48,"good"
60,"electronics",91450,"Unknown",27,"good"
6,"second hand vehicle",36640,"real estate",37,"good"
30,"furniture",34290,"Other cars etc.",21,"bad"
12,"second hand vehicle",6280,"real estate",49,"good"
21,"Business",36400,"life insurance/building society",27,"good"
18,"second hand vehicle",15180,"life insurance/building society",32,"bad"
48,"Business",39020,"real estate",38,"bad"
12,"furniture",18460,"Other cars etc.",22,"good"
18,"electronics",25880,"Unknown",65,"bad"
15,"electronics",19670,"Other cars etc.",35,"good"
6,"furniture",21040,"real estate",41,"good"
9,"second hand vehicle",14250,"Unknown",29,"bad"
42,"furniture",40300,"real estate",36,"good"
9,"education",38200,"real estate",64,"good"
24,"electronics",36480,"Other cars etc.",28,"good"
18,"furniture",15410,"Other cars etc.",44,"bad"
15,"electronics",14320,"life insurance/building society",23,"good"
9,"furniture",19680,"Other cars etc.",19,"bad"
24,"second hand vehicle",13430,"Other cars etc.",25,"bad"
12,"education",13810,"life insurance/building society",47,"good"
24,"electronics",13640,"Other cars etc.",28,"good"
60,"electronics",156410,"Other cars etc.",21,"good"
12,"electronics",14810,"Other cars etc.",34,"good"
42,"electronics",43580,"life insurance/building society",26,"bad"
18,"education",7380,"real estate",27,"bad"
15,"renovation",12960,"Other cars etc.",38,"good"
15,"education",46110,"life insurance/building society",40,"bad"
24,"electronics",18390,"Other cars etc.",33,"good"
18,"electronics",18680,"life insurance/building society",32,"good"
36,"Business",79680,"Other cars etc.",27,"bad"
30,"furniture",45710,"real estate",32,"good"
12,"second hand vehicle",13740,"life insurance/building society",26,"bad"
24,"second hand vehicle",9350,"Unknown",38,"bad"
12,"education",6720,"Other cars etc.",40,"bad"
48,"education",74640,"Unknown",50,"good"
12,"furniture",19100,"life insurance/building society",37,"bad"
24,"second hand vehicle",22910,"real estate",45,"bad"
36,"second hand vehicle",80740,"Other cars etc.",42,"bad"
24,"new vehicle",23340,"Other cars etc.",35,"good"
14,"second hand vehicle",39610,"Unknown",22,"good"
12,"second hand vehicle",8760,"Other cars etc.",41,"bad"
48,"electronics",102100,"Other cars etc.",37,"good"
30,"Business",42090,"Other cars etc.",28,"good"
18,"furniture",63490,"Unknown",41,"good"
12,"electronics",12850,"real estate",23,"good"
12,"second hand vehicle",8880,"Other cars etc.",23,"bad"
21,"furniture",22290,"real estate",50,"good"
6,"furniture",10380,"life insurance/building society",35,"good"
6,"education",10350,"life insurance/building society",50,"good"
24,"miscellaneous",63020,"Unknown",27,"good"
30,"furniture",34840,"Other cars etc.",34,"good"
48,"Business",35970,"real estate",27,"good"
12,"second hand vehicle",48310,"life insurance/building society",43,"bad"
30,"electronics",30050,"life insurance/building society",47,"good"
24,"Business",41270,"life insurance/building society",27,"good"
36,"Business",57300,"Other cars etc.",31,"good"
60,"second hand vehicle",103540,"life insurance/building society",42,"good"
6,"second hand vehicle",20680,"Other cars etc.",24,"good"
21,"Business",25680,"real estate",41,"bad"
30,"electronics",45180,"Other cars etc.",26,"good"
24,"furniture",51380,"Other cars etc.",33,"good"
72,"electronics",55830,"Other cars etc.",24,"bad"
24,"electronics",23720,"real estate",64,"good"
18,"electronics",14410,"real estate",26,"good"
6,"education",15260,"Unknown",56,"good"
12,"electronics",22670,"Unknown",37,"good"
15,"electronics",14660,"real estate",33,"good"
24,"electronics",50910,"Unknown",47,"good"
36,"Business",98450,"life insurance/building society",31,"good"
60,"second hand vehicle",65150,"Unknown",34,"good"
10,"electronics",13350,"life insurance/building society",27,"good"
36,"second hand vehicle",28500,"Unknown",30,"good"
9,"electronics",27410,"Other cars etc.",35,"good"
12,"second hand vehicle",36390,"life insurance/building society",31,"good"
15,"furniture",9630,"life insurance/building society",25,"good"
15,"renovation",26190,"real estate",25,"good"
24,"electronics",28840,"Other cars etc.",29,"good"
6,"second hand vehicle",47040,"real estate",44,"good"
24,"electronics",22720,"Other cars etc.",28,"good"
6,"new vehicle",12240,"life insurance/building society",50,"good"
12,"electronics",10910,"real estate",29,"good"
12,"second hand vehicle",9140,"life insurance/building society",38,"good"
18,"electronics",17880,"Other cars etc.",24,"good"
15,"education",18930,"Other cars etc.",40,"good"
12,"furniture",11110,"Other cars etc.",29,"bad"
48,"new vehicle",63190,"Unknown",46,"bad"
24,"electronics",13650,"Unknown",47,"good"
30,"Business",24910,"life insurance/building society",41,"good"
27,"Business",25160,"life insurance/building society",32,"good"
15,"second hand vehicle",53120,"Unknown",35,"good"
48,"second hand vehicle",65480,"life insurance/building society",24,"bad"
12,"furniture",29570,"life insurance/building society",25,"bad"
9,"electronics",11940,"real estate",25,"good"
9,"electronics",21060,"real estate",37,"good"
18,"electronics",6170,"life insurance/building society",32,"good"
6,"education",11860,"Unknown",35,"bad"
21,"new vehicle",24640,"real estate",46,"good"
9,"electronics",11260,"real estate",25,"good"
60,"second hand vehicle",140150,"Unknown",27,"bad"
30,"new vehicle",75840,"Other cars etc.",63,"good"
30,"electronics",30650,"Other cars etc.",40,"good"
18,"electronics",14930,"Unknown",32,"good"
24,"electronics",31360,"Other cars etc.",31,"good"
20,"new vehicle",61360,"Other cars etc.",31,"good"
9,"electronics",13250,"Other cars etc.",34,"bad"
6,"education",4210,"life insurance/building society",24,"bad"
12,"second hand vehicle",12160,"real estate",24,"bad"
9,"electronics",7780,"real estate",66,"good"
27,"second hand vehicle",25580,"real estate",21,"bad"
6,"second hand vehicle",2380,"real estate",41,"good"
15,"electronics",13040,"life insurance/building society",47,"good"
18,"electronics",18700,"Other cars etc.",25,"bad"
48,"Business",64040,"Unknown",59,"bad"
24,"Business",12630,"real estate",36,"good"
24,"electronics",63910,"Other cars etc.",33,"good"
24,"electronics",19750,"real estate",21,"bad"
8,"electronics",7480,"real estate",44,"good"
24,"new vehicle",25910,"Other cars etc.",28,"good"
4,"second hand vehicle",33680,"real estate",37,"good"
36,"domestic needs",39780,"Unknown",29,"good"
24,"new vehicle",115480,"Other cars etc.",23,"bad"
18,"second hand vehicle",43680,"Other cars etc.",35,"good"
6,"second hand vehicle",67490,"Unknown",45,"good"
30,"Business",42680,"Other cars etc.",26,"bad"
24,"second hand vehicle",23130,"Other cars etc.",32,"good"
10,"electronics",10360,"real estate",23,"good"
21,"electronics",31480,"life insurance/building society",41,"good"
24,"furniture",24710,"real estate",22,"good"
39,"furniture",141670,"life insurance/building society",30,"good"
13,"Business",17850,"life insurance/building society",28,"good"
15,"second hand vehicle",24990,"Other cars etc.",23,"good"
12,"second hand vehicle",12620,"real estate",37,"bad"
21,"new vehicle",52360,"Other cars etc.",26,"good"
15,"new vehicle",30170,"Other cars etc.",33,"good"
6,"furniture",4160,"life insurance/building society",49,"good"
18,"second hand vehicle",9640,"Other cars etc.",23,"bad"
12,"Business",8290,"real estate",23,"good"
30,"electronics",57590,"Other cars etc.",25,"good"
12,"renovation",15430,"Unknown",55,"bad"
24,"second hand vehicle",12730,"Unknown",32,"bad"
6,"second hand vehicle",12870,"real estate",74,"good"
15,"electronics",12590,"Unknown",39,"bad"
24,"second hand vehicle",13810,"real estate",31,"good"
12,"second hand vehicle",6790,"life insurance/building society",35,"bad"
15,"second hand vehicle",50330,"Other cars etc.",59,"good"
18,"furniture",21120,"real estate",24,"bad"
12,"electronics",22020,"life insurance/building society",24,"good"
21,"second hand vehicle",126680,"Unknown",30,"bad"
24,"second hand vehicle",24510,"life insurance/building society",27,"good"
12,"electronics",11430,"real estate",40,"good"
30,"furniture",30960,"life insurance/building society",31,"bad"
10,"new vehicle",28890,"real estate",31,"good"
12,"furniture",36050,"Other cars etc.",28,"good"
12,"electronics",16430,"real estate",63,"good"
24,"new vehicle",28000,"real estate",26,"good"
36,"education",80530,"Unknown",25,"bad"
21,"new vehicle",32630,"Other cars etc.",36,"good"
24,"electronics",22110,"life insurance/building society",52,"good"
12,"second hand vehicle",14680,"Unknown",66,"good"
24,"second hand vehicle",13590,"real estate",25,"bad"
36,"second hand vehicle",35230,"Other cars etc.",37,"good"
18,"electronics",34970,"real estate",25,"good"
36,"new vehicle",56990,"Other cars etc.",38,"good"
18,"renovation",38600,"Other cars etc.",67,"good"
39,"electronics",49210,"real estate",25,"bad"
24,"second hand vehicle",19280,"real estate",60,"good"
12,"retaining",13980,"real estate",31,"good"
12,"second hand vehicle",8240,"life insurance/building society",23,"bad"
20,"new vehicle",64560,"real estate",60,"good"
18,"Business",19290,"life insurance/building society",35,"good"
22,"electronics",26630,"Other cars etc.",40,"good"
48,"new vehicle",27390,"Other cars etc.",38,"good"
48,"education",62120,"Unknown",50,"bad"
40,"education",59860,"Unknown",27,"bad"
21,"Business",11760,"life insurance/building society",39,"bad"
24,"new vehicle",63010,"Other cars etc.",41,"good"
6,"furniture",12090,"life insurance/building society",27,"good"
24,"furniture",28800,"Unknown",51,"good"
24,"furniture",30500,"Unknown",32,"good"
9,"furniture",22890,"life insurance/building society",22,"good"
18,"new vehicle",74990,"life insurance/building society",51,"bad"
12,"furniture",12460,"life insurance/building society",22,"good"
24,"second hand vehicle",7050,"Other cars etc.",54,"good"
9,"second hand vehicle",15370,"real estate",35,"good"
24,"education",15850,"Unknown",54,"good"
18,"electronics",17830,"real estate",48,"good"
20,"furniture",42600,"life insurance/building society",24,"good"
12,"electronics",9640,"Other cars etc.",35,"good"
12,"second hand vehicle",74600,"real estate",24,"good"
36,"second hand vehicle",92590,"Other cars etc.",24,"bad"
6,"electronics",5780,"real estate",26,"good"
12,"electronics",9180,"real estate",65,"good"
42,"new vehicle",92710,"Unknown",55,"good"
15,"second hand vehicle",17660,"real estate",26,"bad"
8,"Business",8950,"real estate",26,"good"
6,"electronics",4720,"real estate",28,"good"
36,"new vehicle",96170,"Other cars etc.",24,"bad"
48,"domestic needs",30390,"Other cars etc.",54,"bad"
48,"second hand vehicle",39190,"Unknown",46,"bad"
36,"second hand vehicle",74200,"life insurance/building society",54,"good"
6,"domestic needs",13260,"real estate",62,"good"
6,"electronics",15420,"Other cars etc.",24,"good"
36,"miscellaneous",158450,"Other cars etc.",43,"good"
18,"electronics",13330,"real estate",26,"bad"
12,"second hand vehicle",10890,"real estate",27,"good"
12,"electronics",30040,"Other cars etc.",24,"good"
36,"furniture",27000,"life insurance/building society",41,"bad"
8,"second hand vehicle",7190,"real estate",47,"good"
18,"furniture",37680,"Other cars etc.",35,"good"
21,"second hand vehicle",15900,"Other cars etc.",30,"good"
18,"second hand vehicle",39540,"real estate",33,"bad"
18,"Business",41530,"Other cars etc.",36,"bad"
36,"new vehicle",83230,"Unknown",47,"bad"
48,"Business",66690,"Unknown",38,"good"
24,"Business",23630,"Other cars etc.",44,"good"
18,"second hand vehicle",12040,"Other cars etc.",23,"bad"
45,"Business",118040,"Other cars etc.",29,"bad"
24,"electronics",50720,"Other cars etc.",42,"good"
15,"electronics",23150,"real estate",25,"bad"
12,"second hand vehicle",10700,"Other cars etc.",48,"bad"
12,"electronics",8740,"Other cars etc.",21,"good"
4,"furniture",5890,"real estate",23,"good"
24,"new vehicle",29450,"life insurance/building society",63,"good"
24,"electronics",25990,"real estate",46,"good"
36,"furniture",51670,"life insurance/building society",29,"bad"
21,"new vehicle",29810,"real estate",28,"good"
18,"renovation",19310,"real estate",23,"bad"
24,"Business",15470,"Other cars etc.",50,"good"
18,"furniture",34100,"life insurance/building society",47,"good"
21,"furniture",39640,"Other cars etc.",35,"good"
18,"second hand vehicle",67490,"Other cars etc.",68,"bad"
24,"second hand vehicle",12370,"real estate",28,"good"
9,"electronics",13520,"real estate",59,"good"
12,"electronics",6970,"real estate",57,"bad"
20,"second hand vehicle",22230,"life insurance/building society",33,"bad"
24,"new vehicle",40300,"life insurance/building society",43,"good"
15,"electronics",14590,"Unknown",35,"good"
18,"second hand vehicle",14300,"Unknown",32,"bad"
36,"second hand vehicle",108630,"Other cars etc.",45,"good"
24,"second hand vehicle",14620,"real estate",33,"good"
10,"retaining",8820,"life insurance/building society",40,"good"
15,"furniture",33310,"Unknown",28,"good"
15,"second hand vehicle",39470,"life insurance/building society",29,"bad"
9,"second hand vehicle",35650,"real estate",26,"good"
24,"new vehicle",57920,"real estate",27,"good"
18,"Business",21570,"Other cars etc.",28,"bad"
24,"electronics",24270,"real estate",35,"bad"
27,"furniture",45140,"real estate",32,"good"
10,"furniture",21980,"real estate",25,"bad"
15,"furniture",22090,"Other cars etc.",20,"good"
18,"electronics",23770,"Other cars etc.",27,"good"
12,"furniture",33190,"life insurance/building society",42,"good"
36,"Business",73970,"life insurance/building society",37,"good"
12,"furniture",6400,"life insurance/building society",24,"good"
36,"furniture",76660,"Other cars etc.",40,"good"
6,"second hand vehicle",13310,"real estate",46,"good"
24,"Business",13700,"real estate",26,"good"
15,"domestic needs",8620,"real estate",24,"good"
12,"furniture",35780,"life insurance/building society",29,"good"
11,"second hand vehicle",13100,"Other cars etc.",40,"good"
18,"electronics",19280,"Unknown",36,"good"
36,"electronics",35830,"Other cars etc.",28,"good"
9,"second hand vehicle",14100,"Unknown",27,"bad"
30,"electronics",67300,"life insurance/building society",36,"good"
24,"new vehicle",78020,"Other cars etc.",38,"good"
24,"new vehicle",92650,"Unknown",48,"good"
30,"second hand vehicle",21690,"real estate",36,"good"
18,"electronics",10860,"Other cars etc.",65,"good"
24,"furniture",40450,"Other cars etc.",43,"bad"
12,"education",7830,"life insurance/building society",53,"bad"
24,"Business",28130,"Unknown",34,"good"
48,"Business",156600,"Other cars etc.",23,"bad"
36,"second hand vehicle",66020,"Other cars etc.",34,"good"
28,"new vehicle",78120,"real estate",40,"good"
27,"Business",24300,"Other cars etc.",43,"good"
15,"electronics",18170,"Other cars etc.",46,"good"
12,"second hand vehicle",21590,"life insurance/building society",38,"good"
36,"new vehicle",57880,"Other cars etc.",34,"good"
18,"electronics",11570,"life insurance/building society",29,"good"
36,"new vehicle",89350,"Other cars etc.",31,"good"
21,"electronics",25940,"life insurance/building society",28,"good"
12,"furniture",15800,"life insurance/building society",35,"good"
15,"furniture",21740,"real estate",33,"good"
18,"furniture",41410,"Other cars etc.",42,"bad"
16,"second hand vehicle",26130,"life insurance/building society",43,"bad"
20,"second hand vehicle",34730,"real estate",44,"good"
36,"new vehicle",104650,"Unknown",42,"good"
15,"electronics",13740,"real estate",40,"good"
24,"electronics",12660,"real estate",36,"good"
12,"electronics",10950,"real estate",20,"good"
21,"second hand vehicle",37510,"real estate",24,"good"
36,"education",36990,"Other cars etc.",27,"good"
15,"new vehicle",35820,"life insurance/building society",46,"good"
9,"second hand vehicle",31830,"real estate",33,"good"
36,"electronics",44420,"real estate",34,"good"
24,"furniture",47240,"Other cars etc.",25,"bad"
30,"electronics",29790,"Other cars etc.",25,"good"
11,"Business",21300,"real estate",28,"good"
24,"Business",31490,"life insurance/building society",31,"bad"
48,"miscellaneous",184120,"life insurance/building society",32,"bad"
10,"new vehicle",28360,"real estate",32,"good"
6,"second hand vehicle",148840,"Unknown",68,"bad"
24,"furniture",23470,"life insurance/building society",33,"bad"
24,"furniture",33330,"life insurance/building society",39,"bad"
18,"furniture",18050,"Unknown",28,"good"
48,"electronics",127370,"Other cars etc.",37,"good"
9,"electronics",13540,"life insurance/building society",22,"bad"
12,"second hand vehicle",19900,"life insurance/building society",30,"good"
24,"furniture",68600,"life insurance/building society",55,"bad"
12,"second hand vehicle",6850,"Other cars etc.",46,"bad"
18,"furniture",10370,"life insurance/building society",21,"good"
48,"new vehicle",102850,"Unknown",39,"bad"
30,"electronics",18550,"Other cars etc.",58,"good"
12,"second hand vehicle",13320,"real estate",43,"good"
24,"furniture",17350,"life insurance/building society",24,"good"
9,"electronics",16580,"Other cars etc.",22,"bad"
9,"second hand vehicle",12120,"real estate",30,"good"
12,"electronics",5100,"life insurance/building society",42,"good"
12,"electronics",14860,"Other cars etc.",23,"good"
30,"electronics",19070,"Unknown",30,"bad"
9,"electronics",7330,"real estate",28,"bad"
6,"electronics",20510,"Other cars etc.",30,"good"
60,"education",62760,"Unknown",42,"bad"
24,"new vehicle",68300,"life insurance/building society",46,"good"
12,"second hand vehicle",35150,"life insurance/building society",45,"good"
10,"second hand vehicle",15340,"real estate",31,"good"
24,"furniture",9170,"Other cars etc.",31,"good"
4,"second hand vehicle",14430,"real estate",42,"good"
15,"furniture",18330,"life insurance/building society",46,"good"
48,"second hand vehicle",83460,"Other cars etc.",30,"good"
24,"furniture",33370,"Unknown",30,"bad"
12,"second hand vehicle",28470,"Unknown",38,"good"
18,"furniture",15210,"life insurance/building society",43,"bad"
24,"electronics",36090,"Other cars etc.",31,"bad"
18,"Business",35780,"Other cars etc.",40,"good"
36,"Business",21330,"Other cars etc.",24,"bad"
24,"new vehicle",41010,"Other cars etc.",28,"bad"
36,"furniture",109620,"Other cars etc.",26,"bad"
12,"second hand vehicle",18810,"life insurance/building society",29,"good"
24,"electronics",12190,"life insurance/building society",57,"good"
30,"electronics",36440,"life insurance/building society",49,"good"
9,"electronics",11420,"real estate",37,"good"
28,"second hand vehicle",39940,"Other cars etc.",45,"bad"
24,"furniture",30570,"Unknown",30,"good"
6,"electronics",17280,"real estate",30,"good"
21,"second hand vehicle",23410,"life insurance/building society",47,"good"
15,"second hand vehicle",35440,"Unknown",29,"good"
24,"electronics",23850,"Other cars etc.",35,"bad"
6,"renovation",4420,"life insurance/building society",22,"good"
30,"electronics",17030,"Other cars etc.",26,"good"
27,"electronics",25080,"life insurance/building society",23,"bad"
15,"electronics",35560,"Other cars etc.",54,"good"
42,"electronics",71540,"life insurance/building society",29,"good"
11,"second hand vehicle",39270,"real estate",40,"good"
15,"renovation",15020,"real estate",22,"good"
24,"second hand vehicle",73810,"life insurance/building society",43,"good"
24,"second hand vehicle",11810,"Unknown",29,"bad"
60,"Business",72850,"Unknown",36,"bad"
30,"electronics",28190,"Other cars etc.",33,"good"
24,"electronics",12460,"Other cars etc.",57,"good"
6,"electronics",7410,"real estate",64,"good"
18,"Business",24150,"life insurance/building society",42,"good"
24,"second hand vehicle",25260,"Other cars etc.",47,"bad"
15,"second hand vehicle",12520,"life insurance/building society",25,"bad"
30,"furniture",83740,"life insurance/building society",49,"bad"
48,"Business",48320,"Other cars etc.",33,"bad"
21,"second hand vehicle",29110,"Other cars etc.",28,"good"
36,"new vehicle",82170,"life insurance/building society",26,"bad"
24,"furniture",20160,"life insurance/building society",30,"good"
15,"furniture",14210,"life insurance/building society",25,"good"
42,"Business",62770,"life insurance/building society",33,"good"
13,"electronics",13970,"real estate",64,"good"
24,"new vehicle",65670,"Unknown",29,"good"
24,"electronics",17310,"life insurance/building society",48,"good"
12,"education",35530,"life insurance/building society",37,"good"
15,"electronics",15570,"Other cars etc.",34,"good"
18,"electronics",19240,"Other cars etc.",23,"good"
36,"furniture",39470,"life insurance/building society",30,"good"
12,"second hand vehicle",23780,"Other cars etc.",50,"good"
12,"furniture",17240,"real estate",31,"good"
30,"new vehicle",38450,"life insurance/building society",40,"good"
12,"electronics",7920,"Other cars etc.",38,"good"
45,"electronics",18330,"Unknown",23,"bad"
45,"new vehicle",45640,"Other cars etc.",27,"good"
6,"electronics",11570,"real estate",67,"good"
48,"electronics",59390,"real estate",22,"bad"
12,"education",20840,"real estate",49,"good"
42,"furniture",78700,"life insurance/building society",45,"good"
24,"second hand vehicle",48580,"Unknown",53,"bad"
36,"education",90430,"Unknown",35,"good"
24,"furniture",28230,"life insurance/building society",53,"good"
36,"new vehicle",69360,"Other cars etc.",35,"good"
12,"electronics",30470,"real estate",61,"good"
30,"second hand vehicle",52220,"Other cars etc.",28,"bad"
12,"second hand vehicle",12830,"Other cars etc.",25,"bad"
48,"Business",42960,"life insurance/building society",24,"bad"
12,"electronics",15550,"Other cars etc.",22,"good"
24,"second hand vehicle",11870,"Other cars etc.",60,"bad"
15,"second hand vehicle",13910,"Other cars etc.",28,"good"
24,"electronics",12700,"Other cars etc.",32,"bad"
24,"electronics",24120,"life insurance/building society",53,"good"
30,"Business",80600,"Other cars etc.",25,"good"
24,"new vehicle",125670,"Unknown",44,"bad"
24,"electronics",34180,"Other cars etc.",31,"good"
9,"second hand vehicle",21220,"Other cars etc.",48,"good"
6,"electronics",26350,"real estate",44,"good"
10,"second hand vehicle",22290,"real estate",48,"good"
12,"new vehicle",17920,"life insurance/building society",44,"good"
10,"furniture",20570,"Other cars etc.",26,"good"
6,"furniture",13620,"real estate",36,"good"
6,"electronics",4140,"Other cars etc.",39,"good"
12,"electronics",3970,"real estate",42,"good"
7,"electronics",24030,"real estate",34,"good"
60,"Business",68240,"Unknown",63,"bad"
18,"Business",19010,"real estate",36,"good"
24,"furniture",40080,"Other cars etc.",27,"good"
18,"second hand vehicle",58540,"Other cars etc.",30,"good"
12,"Business",12520,"Unknown",57,"good"
12,"furniture",14620,"life insurance/building society",33,"good"
45,"electronics",47340,"life insurance/building society",25,"bad"
48,"education",60980,"Unknown",31,"good"
18,"electronics",20880,"real estate",37,"bad"
10,"domestic needs",12130,"Other cars etc.",37,"good"
9,"electronics",4460,"real estate",24,"good"
30,"electronics",23210,"Other cars etc.",30,"good"
12,"electronics",11460,"Other cars etc.",26,"good"
18,"renovation",61920,"real estate",44,"good"
30,"new vehicle",61750,"Other cars etc.",24,"good"
48,"new vehicle",61310,"Unknown",58,"bad"
11,"second hand vehicle",13810,"Other cars etc.",35,"good"
36,"electronics",22870,"Other cars etc.",39,"good"
6,"new vehicle",13400,"life insurance/building society",23,"good"
11,"second hand vehicle",72160,"life insurance/building society",39,"good"
12,"electronics",20610,"real estate",28,"good"
24,"furniture",23210,"life insurance/building society",29,"good"
27,"new vehicle",59530,"Other cars etc.",30,"good"
12,"electronics",12500,"Other cars etc.",25,"good"
18,"new vehicle",33660,"life insurance/building society",31,"good"
36,"second hand vehicle",22130,"Unknown",57,"bad"
6,"second hand vehicle",7710,"real estate",26,"good"
12,"electronics",64560,"Unknown",52,"bad"
36,"electronics",95540,"Other cars etc.",31,"good"
18,"second hand vehicle",19490,"Other cars etc.",23,"good"
36,"furniture",62170,"Unknown",23,"bad"
